STAMP;ROOT X;ROOT Y;ROOT Z;WRIST X;WRIST Y;WRIST Z;HAND X;HAND Y;HAND Z;THUMB1 X;THUMB1 Y;THUMB1 Z;THUMB2 X;THUMB2 Y;THUMB2 Z;THUMB3 X;THUMB3 Y;THUMB3 Z;THUMB4 X;THUMB4 Y;THUMB4 Z;THUMBFLEX1;THUMBFLEX2;INDEX1 X;INDEX1 Y;INDEX1 Z;INDEX2 X;INDEX2 Y;INDEX2 Z;INDEX3 X;INDEX3 Y;INDEX3 Z;INDEX4 X;INDEX4 Y;INDEX4 Z;INDEXFLEX1;INDEXFLEX2;INDEXFLEX3;MIDDLE1 X;MIDDLE1 Y;MIDDLE1 Z;MIDDLE2 X;MIDDLE2 Y;MIDDLE2 Z;MIDDLE3 X;MIDDLE3 Y;MIDDLE3 Z;MIDDLE4 X;MIDDLE4 Y;MIDDLE4 Z;MIDDLEFLEX1;MIDDLEFLEX2;MIDDLEFLEX3;RING1 X;RING1 Y;RING1 Z;RING2 X;RING2 Y;RING2 Z;RING3 X;RING3 Y;RING3 Z;RING4 X;RING4 Y;RING4 Z;RINGFLEX1;RINGFLEX2;RINGFLEX3;LITTLE1 X;LITTLE1 Y;LITTLE1 Z;LITTLE2 X;LITTLE2 Y;LITTLE2 Z;LITTLE3 X;LITTLE3 Y;LITTLE3 Z;LITTLE4 X;LITTLE4 Y;LITTLE4 Z;LITTLEFLEX1;LITTLEFLEX2;LITTLEFLEX3;PRESSURE1;PRESSURE2;PRESSURE3;PRESSURE4;PRESSURE5;DIST THUMB-INDEX;DIST THUMB-MIDDLE;DIST THUMB-RING;DIST THUMB-LITTLE;DIST PALM-THUMB;DIST PALM-INDEX;DIST PALM-MIDDLE;DIST PALM-RING;DIST PALM-LITTLE;Unnamed: 98;Seconds;Sample_Time
430;0,0000;0,0000;0,0000;-42,6857;-0,2147;40,4388;-106,9887;-5,0415;109,1819;-48,5542;-15,2328;81,1308;-52,2407;-25,0742;144,0257;-66,6147;-33,0980;182,1148;-72,7288;-38,7249;201,1252;11,5800;11,5800;-111,9715;15,6467;123,9032;-147,3721;9,5926;171,9282;-161,7478;7,1995;192,4597;-168,9476;4,5471;202,4402;4,3500;22,7500;11,3750;-129,9559;-4,2684;120,1103;-170,8467;-6,6337;153,6752;-191,9255;-13,1459;185,9130;-201,9787;-15,6840;202,4656;11,3200;24,7500;20,3750;-141,6613;-18,9219;100,8431;-164,8524;-35,1085;144,7523;-177,6864;-37,6090;163,5735;-184,1666;-37,2478;173,0169;10,2700;20,5056;18,2528;-136,2106;-41,5137;90,7482;-161,4870;-47,2968;112,9249;-182,3179;-50,4707;127,9500;-191,0442;-54,4806;136,6223;19,4700;23,2839;11,6419;1,00;1,00;1,00;1,00;1,00;105,51;131,29;114,94;135,67;103,74;112,37;133,56;105,21;101,30;;0.43;2023-08-21 13:32:09.841926000
870;0,0000;0,0000;0,0000;-43,2192;1,0320;39,8553;-109,7600;0,8245;106,6091;-50,3720;-10,9834;81,3317;-55,7571;-16,6940;144,6136;-71,1415;-22,3116;182,7388;-77,7003;-26,6888;201,9290;11,5800;11,5800;-115,3321;22,5062;119,5861;-154,1260;22,9787;165,3143;-170,0790;23,5618;184,7846;-178,1400;22,4250;194,3872;0,5700;23,3616;11,6808;-133,0832;2,2348;116,6869;-175,3389;2,5992;148,6020;-197,7612;-1,2888;180,3529;-208,5018;-2,4826;196,6230;12,0900;24,7500;20,3750;-144,0670;-13,8861;98,1818;-169,9457;-25,7110;141,9804;-183,8951;-26,3045;160,1536;-190,9179;-24,9868;169,1115;12,3000;20,6319;18,3160;-138,1728;-37,1212;89,9722;-164,4900;-40,9591;111,3457;-186,0815;-42,7236;125,5035;-195,2982;-45,9162;134,0063;20,5900;23,5839;11,7920;2,00;2,00;2,00;1,00;1,00;112,06;133,13;117,89;137,16;104,26;113,35;133,65;105,64;101,25;;0.87;2023-08-21 13:32:10.141926000
1300;0,0000;0,0000;0,0000;-44,1618;0,3939;38,8115;-115,3895;5,0555;100,3500;-55,3876;-11,3129;79,4611;-62,4230;-15,8846;142,6674;-78,6388;-19,3904;180,6964;-85,5176;-22,6615;199,9926;12,1200;12,1200;-120,1842;27,0166;113,1617;-163,2557;32,7364;154,4860;-181,1079;35,7515;171,9794;-190,2990;35,9098;180,5788;2,3000;24,0975;12,0487;-139,2228;8,2667;108,6601;-184,3713;14,1103;135,7005;-210,4317;13,5096;164,7901;-222,9598;13,9168;179,7670;15,2400;24,8151;20,4076;-150,0165;-6,7764;89,1657;-178,5857;-19,7445;130,9145;-192,2706;-21,9100;149,1665;-198,8324;-21,6485;158,5553;8,9400;15,8796;15,9398;-145,3887;-30,3471;81,1103;-170,1833;-36,1560;103,8129;-190,9658;-39,1318;118,9409;-199,7267;-42,9180;127,6768;10,5100;24,3759;12,1880;1,00;1,00;1,00;1,00;95,00;121,60;143,66;120,66;136,69;107,65;114,02;134,00;105,18;100,80;;1.3;2023-08-21 13:32:10.571926000
1730;0,0000;0,0000;0,0000;-49,4852;3,3908;42,2810;-130,3737;15,5294;107,2797;-63,4401;-5,3260;87,9227;-83,4045;-7,0888;155,7040;-111,5281;-11,8962;191,7791;-127,0315;-18,3046;207,5095;6,5250;6,5250;-135,7908;41,1136;119,0588;-184,8283;50,0000;163,0466;-203,4002;50,9587;183,8564;-212,2509;49,0714;194,4782;0,7600;14,8876;7,4438;-157,0087;20,1821;115,3115;-206,7125;26,3920;145,9127;-219,7249;9,4840;183,5919;-220,5931;-0,9262;202,5552;10,6900;6,3600;4,8200;-168,5408;1,7440;94,9320;-192,7537;-16,2747;144,3350;-174,9741;-31,4788;154,2352;-162,9381;-34,9440;152,1253;3,5200;68,7024;26,3512;-163,4896;-25,1381;88,5566;-181,9286;-40,0650;118,0105;-166,3548;-56,2729;135,8334;-152,7854;-60,8482;135,0193;13,2200;46,4025;23,2013;1,00;1,00;1,00;1,00;93,00;109,42;95,29;68,07;87,91;105,84;124,23;132,24;74,96;84,29;;1.73;2023-08-21 13:32:11.001926000
2160;0,0000;0,0000;0,0000;-65,3060;1,4243;53,3488;-173,9171;16,4315;132,4387;-86,1082;-10,1426;111,4430;-112,7087;-12,8298;198,9112;-150,0486;-19,4372;244,7840;-172,0701;-29,3514;262,1713;5,7900;5,7900;-181,7713;49,4543;147,4479;-241,4541;47,9249;209,3694;-256,0851;35,3994;239,9184;-259,8528;24,7843;254,0313;10,0900;2,9841;1,4921;-208,8611;22,2862;141,2020;-273,7629;26,5093;180,4340;-263,3885;-12,3081;219,4859;-245,1440;-30,3653;230,7082;7,2600;39,3204;11,6602;-222,4206;-1,5288;114,0661;-245,1541;-33,9705;177,6490;-218,4218;-51,6848;184,8669;-203,0528;-53,4484;179,3162;14,6500;71,8256;27,9128;-215,3653;-36,2589;106,0128;-234,3320;-61,1686;143,6266;-204,7861;-78,2331;158,2464;-187,7629;-78,0600;150,8536;23,2300;59,4561;29,7281;1,00;1,00;2,00;1,00;2,00;103,45;79,57;91,68;122,52;137,59;149,13;130,08;89,05;97,26;;2.16;2023-08-21 13:32:11.431926000
2590;0,0000;0,0000;0,0000;-56,6721;0,6103;44,7509;-151,1592;13,9433;110,2770;-75,9621;-9,8897;93,8146;-101,3345;-15,1423;167,7175;-134,1479;-21,9096;206,1154;-154,3714;-35,5482;198,7514;6,7050;6,7050;-157,6955;42,0936;123,4943;-195,9555;22,7430;183,3767;-199,4023;4,3705;208,0083;-197,4319;-7,6635;217,5128;29,1300;7,1489;3,5745;-181,1681;19,3807;117,0993;-211,6216;-10,8868;165,9466;-186,1099;-44,0143;189,4701;-166,5878;-56,7406;195,1567;34,2500;22,3344;3,1672;-192,5394;-0,3449;93,1822;-180,6081;-44,1888;138,4560;-154,3656;-52,7323;132,9341;-143,4934;-49,5144;124,5987;48,7400;67,7369;25,8685;-186,8700;-30,0559;85,8716;-190,7128;-58,3166;116,5706;-161,0704;-68,9044;120,9750;-148,5618;-65,0159;111,9774;44,0200;58,7225;29,3612;2,00;1,00;1,00;2,00;2,00;54,62;24,72;76,24;91,82;101,43;118,78;111,53;65,50;79,02;;2.59;2023-08-21 13:32:11.871926000
3020;0,0000;0,0000;0,0000;-54,5225;-0,0004;41,0816;-142,6909;5,0084;105,7045;-70,8031;-12,5012;87,5692;-93,2193;-21,5524;157,5451;-123,7229;-31,7870;193,4008;-143,1313;-45,8083;190,7676;5,5350;5,5350;-150,1600;30,7746;119,2259;-181,2661;6,1911;176,4590;-186,3263;-9,9001;200,3331;-186,4494;-20,3455;210,5559;31,7900;3,9319;1,9660;-171,1332;8,1470;113,0535;-192,7171;-26,3433;159,1461;-167,8937;-56,7384;181,8816;-149,9336;-68,7036;188,8464;38,8000;14,3129;0,8436;-181,3314;-10,4248;90,1274;-169,3240;-51,2734;133,3039;-144,3629;-59,9099;130,0950;-133,2407;-57,6347;123,1591;45,1700;63,1721;23,5861;-174,4322;-37,8890;82,1577;-176,5242;-64,3101;111,5985;-150,8126;-77,5604;119,7304;-137,0213;-76,9870;113,8002;41,6400;45,8964;22,9482;1,00;1,00;1,00;2,00;1,00;54,00;23,96;69,34;83,27;99,09;116,41;111,35;65,71;82,59;;3.02;2023-08-21 13:32:12.301926000
3460;0,0000;0,0000;0,0000;-47,2644;-0,1137;35,2282;-121,6603;-0,2286;93,4871;-59,7333;-12,9336;75,2996;-77,0166;-23,2166;135,9824;-101,6426;-33,3203;167,9508;-115,4017;-42,1694;180,7963;6,7050;6,7050;-128,3306;21,3332;106,2753;-169,0589;15,9530;150,1703;-184,9700;12,7461;169,5016;-192,6422;9,4224;178,9556;7,6400;19,5244;9,7622;-146,0686;1,5242;100,6961;-188,7019;-4,7587;131,7027;-210,4338;-14,3881;162,8273;-220,6953;-18,6197;178,9590;2,5000;23,1231;19,5616;-155,0685;-13,9324;80,5285;-178,9362;-32,4618;123,2917;-186,3618;-40,4056;143,5309;-188,7419;-43,6717;154,2842;1,1700;1,4775;8,7388;-148,6969;-37,1685;72,4817;-173,1225;-43,4225;95,5973;-191,7053;-48,6546;112,9309;-198,3406;-53,8038;122,8176;10,0900;17,1039;8,5520;1,00;2,00;2,00;2,00;2,00;92,90;107,91;78,00;101,86;97,06;111,52;132,10;100,42;98,03;;3.46;2023-08-21 13:32:12.731926000
3880;0,0000;0,0000;0,0000;-47,0757;0,0912;35,3009;-121,4617;0,9060;93,2868;-59,7139;-12,3811;75,3414;-74,8145;-20,7847;136,7685;-97,8950;-29,1408;170,2597;-110,4021;-36,5426;185,0866;7,6800;7,6800;-127,9714;22,5527;105,9176;-170,2634;20,9164;148,4621;-187,3910;20,0557;166,9209;-195,9189;18,0746;175,9794;4,1400;21,7959;10,8980;-145,8260;2,8946;100,4184;-190,4275;0,9337;128,9677;-214,9605;-5,1964;158,7788;-226,7500;-7,5754;174,1861;7,7500;24,2775;20,1388;-154,8913;-12,5713;80,3532;-182,2335;-27,0296;122,4846;-196,4904;-29,1394;140,3237;-203,6173;-28,6555;149,2935;6,4900;19,1436;17,5718;-148,7037;-35,8604;72,4637;-175,9222;-40,4908;92,5510;-197,7972;-43,2196;106,1427;-207,0157;-46,9957;114,4152;16,0400;22,0759;11,0379;1,00;1,00;1,00;1,00;1,00;101,88;120,39;100,16;120,16;99,76;112,59;133,05;103,73;100,30;;3.88;2023-08-21 13:32:13.161926000
4310;0,0000;0,0000;0,0000;-47,1357;0,0771;35,1905;-121,9229;1,4909;92,5988;-59,9768;-11,7081;75,3597;-75,5926;-19,6148;136,7035;-98,7374;-27,7556;170,1876;-110,9724;-34,8649;185,3714;8,0250;8,0250;-128,6684;23,3238;104,7603;-170,9951;23,7584;147,2736;-188,1615;23,8180;165,7056;-196,7353;22,3007;174,8050;3,2300;21,9024;10,9512;-146,3439;3,4474;99,5142;-191,7514;3,1258;126,8002;-217,2900;-1,5279;156,0121;-229,6077;-3,1386;171,0947;9,7100;24,4816;20,2408;-155,1554;-12,4577;79,6919;-182,8936;-27,8877;121,1952;-196,7237;-31,0602;139,2030;-203,5244;-31,2421;148,4292;5,7200;16,6479;16,3239;-148,7554;-35,8435;72,2984;-176,0527;-40,4809;92,2591;-198,0634;-43,1622;105,6239;-207,3770;-46,8520;113,8223;15,7600;22,4400;11,2200;2,00;2,00;1,00;1,00;2,00;103,61;123,63;99,72;120,65;100,24;113,08;133,34;104,15;100,45;;4.31;2023-08-21 13:32:13.591926000
