STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
430	0,0000	0,0000	0,0000	22,5365	13,3600	52,6298	72,4669	2,7384	131,8446	55,7088	-9,5747	69,6237	118,2716	-16,5500	79,7286	156,9675	-18,8793	94,5072	176,2871	-21,9395	101,4128	17,3400	17,3400	90,6789	19,9685	138,2299	128,4481	19,7104	184,7970	144,6166	20,1420	204,0873	152,1927	19,1230	214,0870	5,1700	24,1164	12,0582	78,1191	4,4960	156,5887	98,3671	7,0632	205,4431	121,6381	1,0561	236,2307	133,9608	-1,4327	251,1750	18,6000	24,8631	20,4315	53,6807	-3,3112	164,6225	79,7436	-26,0610	203,7392	91,0652	-29,8179	223,3029	97,0896	-29,8892	233,0475	13,4900	24,1164	20,0582	39,4282	-23,5123	159,0928	55,1761	-31,5339	188,2720	65,0549	-35,2355	211,8990	70,7416	-39,7534	222,6056	16,3200	24,9975	12,4987	1,00	1,00	1,00	1,00	1,00	122,32	156,97	153,83	161,69	110,97	115,71	134,31	109,15	100,23	
870	0,0000	0,0000	0,0000	22,5815	13,1934	52,6511	72,8277	3,4105	131,7719	56,2405	-9,0953	69,5451	118,9004	-15,4782	79,4288	157,6849	-17,4613	94,0220	177,0788	-20,3342	100,7976	17,4300	17,4300	90,6905	20,9954	138,1744	128,6071	22,5797	184,5937	144,8155	23,7992	203,8159	152,4543	23,1642	213,7993	6,1500	24,1351	12,0675	78,4766	5,2248	156,5122	98,5001	8,6906	205,4025	121,8148	3,5256	236,3084	134,1468	1,4733	251,3106	19,3000	24,8775	20,4387	54,2153	-3,1016	164,5593	80,5351	-24,7894	204,1036	91,8072	-28,0653	223,7814	97,7651	-27,8899	233,5653	14,4000	24,0975	20,0487	40,3734	-23,5776	158,9999	55,9570	-30,9944	188,4254	65,6460	-34,2662	212,1935	71,3048	-38,5634	223,0049	17,1600	24,9984	12,4992	1,00	1,00	1,00	1,00	1,00	123,56	158,03	154,84	162,65	111,32	116,01	134,36	109,38	100,44	
1300	0,0000	0,0000	0,0000	22,3765	13,4501	52,6730	72,9962	1,9357	131,3201	55,9153	-9,4274	69,0084	118,7822	-16,1689	77,1886	157,9360	-18,4646	90,7092	177,4934	-21,4873	96,9257	17,4900	17,4900	91,0684	19,2431	137,8878	129,0321	20,2315	184,2843	145,2598	21,2095	203,5037	152,9027	20,4542	213,4754	6,7100	24,1536	12,0768	78,8104	3,3054	156,0504	99,0435	6,1071	204,8963	122,4341	0,4477	235,6576	134,8058	-1,8510	250,5910	19,6500	24,8844	20,4422	54,5175	-4,9104	164,1147	80,7748	-27,0614	203,4424	92,0649	-30,5563	223,0718	98,0437	-30,4923	232,8442	14,9600	24,0975	20,0487	40,4424	-25,1607	158,3200	56,0033	-33,1169	187,6159	65,7029	-36,7947	211,3199	71,3369	-41,2894	222,0636	17,3700	24,9975	12,4987	1,00	1,00	1,00	1,00	1,00	126,28	160,69	157,69	165,29	112,48	116,09	134,39	109,48	100,53	
1730	0,0000	0,0000	0,0000	22,5402	13,7148	52,5276	73,5753	1,5278	130,7917	55,9789	-9,5039	68,5715	118,4682	-18,1764	77,7151	157,3170	-21,7414	91,8140	176,6641	-25,4043	98,3296	17,5500	17,5500	91,8426	18,6532	137,2853	129,5691	19,5808	183,8677	145,6749	20,6081	203,1833	153,2446	19,9002	213,2125	7,3400	24,3439	12,1720	79,5664	2,7750	155,4833	100,0348	5,5584	204,2259	123,5116	-0,1349	234,9098	135,9231	-2,4454	249,8055	20,0000	24,9600	20,4800	55,2584	-5,2467	163,6868	81,2508	-26,0121	203,9283	92,3536	-28,7852	223,7757	98,2225	-28,3505	233,6036	17,2700	24,2256	20,1128	40,9666	-25,3522	157,9310	56,3232	-32,6626	187,4974	65,8595	-35,8164	211,3396	71,4171	-40,0731	222,2175	19,0500	24,9996	12,4998	1,00	1,00	1,00	1,00	1,00	125,69	158,53	156,40	163,22	111,38	116,09	134,41	109,87	100,47	
2160	0,0000	0,0000	0,0000	22,6583	13,2682	52,5904	74,0495	-0,3079	130,3896	56,0784	-10,3311	68,1070	118,8038	-19,2080	75,2006	158,0779	-22,9890	88,0038	177,6176	-26,7531	93,8516	17,6100	17,6100	92,4251	16,6395	137,0411	130,4454	17,2168	183,3884	146,6489	18,1665	202,6256	154,2679	17,4325	212,6152	7,7600	24,5100	12,2550	80,1755	0,5438	155,0646	100,9116	2,5092	203,7329	124,5222	-3,7365	234,2051	136,9999	-6,3180	249,0002	20,0000	24,9711	20,4855	55,8765	-7,4952	163,2764	81,6220	-29,0785	203,2442	92,6469	-32,1658	223,0883	98,4823	-31,8729	232,9412	17,3400	24,4375	20,2188	41,4671	-27,4504	157,2969	57,2066	-34,7071	186,6739	67,0286	-37,8418	210,4020	72,7404	-42,0794	221,2070	19,8200	24,9999	12,5000	1,00	1,00	1,00	1,00	1,00	128,85	161,67	160,11	165,69	112,96	116,24	134,41	110,05	99,97	
2590	0,0000	0,0000	0,0000	22,6654	13,5219	52,5234	74,1104	0,0655	130,3090	56,0549	-10,0997	68,0732	118,9682	-18,5637	73,9006	158,5313	-22,0267	85,8787	178,2153	-25,6357	91,3277	17,6400	17,6400	92,5267	16,9953	136,8933	130,5336	17,9954	183,2453	146,7241	19,1381	202,4832	154,3382	18,5065	212,4838	8,1100	24,5511	12,2755	80,2637	0,9754	154,9754	101,0541	3,0384	203,6171	124,6850	-3,1718	234,0813	137,1739	-5,7393	248,8697	20,0000	24,9639	20,4820	55,9570	-6,9918	163,2352	81,2294	-28,7167	203,4283	92,0906	-31,8416	223,3568	97,8605	-31,5674	233,2488	17,3400	24,4816	20,2408	41,5016	-26,9355	157,3274	56,8482	-34,4260	186,8537	66,3887	-37,7122	210,6763	71,9356	-42,0346	221,5336	19,6100	25,0000	12,5000	1,00	1,00	1,00	1,00	1,00	131,14	164,01	163,20	168,87	114,10	116,32	134,41	110,28	100,49	
3020	0,0000	0,0000	0,0000	22,5709	13,4946	52,5711	74,1047	0,0777	130,3048	56,1101	-9,9723	68,0325	119,0761	-18,0593	73,8264	158,6610	-21,3160	85,7903	178,3678	-24,8205	91,2252	17,6400	17,6400	92,4139	17,0993	136,9506	130,4164	18,1693	183,3046	146,6005	19,3436	202,5460	154,2190	18,7234	212,5439	8,1100	24,5511	12,2755	80,2536	0,9357	154,9741	101,0334	2,9511	203,6223	124,7050	-3,2216	234,0625	137,2108	-5,7644	248,8409	20,0000	24,9639	20,4820	55,9983	-7,2155	163,2053	81,4193	-28,9808	203,2828	92,3092	-32,1357	223,1909	98,0825	-31,8742	233,0813	17,2700	24,4816	20,2408	41,6690	-27,2284	157,2247	57,0742	-34,7264	186,7186	66,6439	-38,0374	210,5260	72,2227	-42,3632	221,3656	19,6100	25,0000	12,5000	1,00	1,00	1,00	1,00	1,00	131,14	164,01	163,15	168,85	114,10	116,32	134,41	110,27	100,48	
3460	0,0000	0,0000	0,0000	22,6150	13,2896	52,6040	74,0775	-0,3838	130,3396	56,0844	-10,2902	68,0443	119,0704	-18,3928	73,5900	158,7003	-21,6648	85,3989	178,4271	-25,1766	90,7554	17,6400	17,6400	92,4288	16,5788	137,0198	130,3867	17,6227	183,4105	146,5511	18,7912	202,6686	154,1579	18,1699	212,6753	8,2500	24,5644	12,2822	80,2174	0,4200	155,0128	100,9805	2,3054	203,6731	124,6210	-3,9747	234,1152	137,1127	-6,5718	248,8959	20,0000	24,9676	20,4838	55,9369	-7,6792	163,2207	81,2142	-29,6027	203,3024	92,0598	-32,8248	223,2238	97,8173	-32,5968	233,1242	17,2700	24,4959	20,2479	41,5572	-27,6446	157,2029	56,8804	-35,2480	186,7123	66,3942	-38,6333	210,5315	71,9369	-42,9975	221,3742	19,6100	25,0000	12,5000	1,00	1,00	1,00	1,00	1,00	131,65	164,50	163,77	169,47	114,33	116,35	134,41	110,30	100,54	
3880	0,0000	0,0000	0,0000	22,8513	14,6579	52,1363	74,5239	3,3972	130,1191	56,3871	-8,4073	68,1973	119,3963	-16,2689	73,8258	159,0625	-19,1353	85,6179	178,7983	-22,4719	91,0527	17,6550	17,6550	92,8718	20,5743	136,2371	130,9068	23,2024	182,5017	147,0995	25,0345	201,6843	154,7239	24,7579	211,6931	8,3900	24,5775	12,2887	80,7246	4,9531	154,7411	101,6068	8,3313	203,2694	125,3308	3,0003	233,8274	137,8625	0,8650	248,6482	20,0000	24,9676	20,4838	56,4743	-2,9212	163,2514	81,8458	-23,5509	203,9555	92,7270	-26,1308	223,9509	98,4990	-25,5830	233,8302	17,3400	24,5100	20,2550	42,1032	-23,0752	157,8762	57,4604	-29,7848	187,5839	67,0014	-32,4502	211,4836	72,5569	-36,4852	222,4466	19,6100	25,0000	12,5000	1,00	1,00	1,00	1,00	1,00	131,77	164,49	163,84	169,55	114,32	116,37	134,41	110,32	100,59	
4310	0,0000	0,0000	0,0000	23,8246	15,5297	52,1116	72,3275	16,6555	133,9781	57,1465	-4,5452	73,0782	119,9829	-10,7025	85,6748	158,7403	-11,3543	101,5673	178,0021	-13,6887	109,4614	17,5950	17,5950	90,3441	35,0508	138,3981	126,2581	44,5862	186,2019	143,3831	31,5278	199,7084	149,5226	20,9538	203,1799	7,9700	19,0896	9,5448	77,3801	21,9318	158,6094	96,0718	32,8016	207,5078	119,4434	28,7090	239,0132	132,1260	26,2879	253,9190	20,0000	19,3356	17,6678	52,5988	14,8659	167,1494	77,5421	-1,3315	210,6946	88,6837	-3,0153	230,9037	94,7929	-2,3244	240,7040	14,6100	20,9196	18,4598	38,5923	-6,3218	164,0918	52,9041	-11,0513	195,0677	61,6449	-12,0552	219,6709	66,7802	-15,3725	231,2168	15,2000	24,9831	12,4916	1,00	1,00	1,00	476,00	1,00	103,90	156,75	155,81	164,92	112,65	103,76	134,37	110,70	102,53	
