STAMP;ROOT X;ROOT Y;ROOT Z;WRIST X;WRIST Y;WRIST Z;HAND X;HAND Y;HAND Z;THUMB1 X;THUMB1 Y;THUMB1 Z;THUMB2 X;THUMB2 Y;THUMB2 Z;THUMB3 X;THUMB3 Y;THUMB3 Z;THUMB4 X;THUMB4 Y;THUMB4 Z;THUMBFLEX1;THUMBFLEX2;INDEX1 X;INDEX1 Y;INDEX1 Z;INDEX2 X;INDEX2 Y;INDEX2 Z;INDEX3 X;INDEX3 Y;INDEX3 Z;INDEX4 X;INDEX4 Y;INDEX4 Z;INDEXFLEX1;INDEXFLEX2;INDEXFLEX3;MIDDLE1 X;MIDDLE1 Y;MIDDLE1 Z;MIDDLE2 X;MIDDLE2 Y;MIDDLE2 Z;MIDDLE3 X;MIDDLE3 Y;MIDDLE3 Z;MIDDLE4 X;MIDDLE4 Y;MIDDLE4 Z;MIDDLEFLEX1;MIDDLEFLEX2;MIDDLEFLEX3;RING1 X;RING1 Y;RING1 Z;RING2 X;RING2 Y;RING2 Z;RING3 X;RING3 Y;RING3 Z;RING4 X;RING4 Y;RING4 Z;RINGFLEX1;RINGFLEX2;RINGFLEX3;LITTLE1 X;LITTLE1 Y;LITTLE1 Z;LITTLE2 X;LITTLE2 Y;LITTLE2 Z;LITTLE3 X;LITTLE3 Y;LITTLE3 Z;LITTLE4 X;LITTLE4 Y;LITTLE4 Z;LITTLEFLEX1;LITTLEFLEX2;LITTLEFLEX3;PRESSURE1;PRESSURE2;PRESSURE3;PRESSURE4;PRESSURE5;DIST THUMB-INDEX;DIST THUMB-MIDDLE;DIST THUMB-RING;DIST THUMB-LITTLE;DIST PALM-THUMB;DIST PALM-INDEX;DIST PALM-MIDDLE;DIST PALM-RING;DIST PALM-LITTLE;Unnamed: 98;Seconds;Sample_Time
430;0,0000;0,0000;0,0000;-14,1273;18,3356;54,0339;-11,1098;2,2759;146,8330;7,9480;-4,1488;84,3961;57,9399;-4,2031;123,9522;84,4215;-3,0525;155,8613;97,6113;-4,6859;171,7847;17,3550;17,3550;-0,8278;19,8303;162,8108;9,6019;22,8695;221,7700;14,2972;24,7393;246,4281;16,2032;24,3712;258,8629;9,0900;24,1351;12,0675;-19,1974;1,6529;170,9443;-27,3033;0,0540;223,2356;-22,6358;-7,7935;261,2061;-19,5532;-11,1019;280,2018;18,5300;24,9471;20,4736;-43,2345;-8,5482;164,5641;-39,4523;-32,2762;210,9211;-39,9350;-36,5558;233,4234;-40,0748;-36,8331;244,8746;15,5900;24,5775;20,2887;-50,2534;-28,8885;151,1982;-52,8172;-38,7766;183,7426;-57,4950;-44,1347;208,6177;-58,3717;-49,3397;220,4280;18,1400;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,70;159,76;159,16;169,38;111,76;117,41;134,30;109,46;101,56;;0.43;2023-08-21 13:31:29.601926000
870;0,0000;0,0000;0,0000;-14,1040;17,7380;54,2390;-11,6760;1,7170;147,0621;7,7495;-4,7684;84,7449;57,4228;-5,0002;124,6998;83,6512;-3,9543;156,8209;96,7085;-5,6398;172,8477;17,3550;17,3550;-1,4622;19,2620;163,0939;8,6408;22,3273;222,1085;13,2006;24,2076;246,7913;15,0361;23,8454;259,2368;9,0900;24,1351;12,0675;-19,9107;1,1186;171,1242;-28,3363;-0,4423;223,3661;-23,9121;-8,2796;261,3678;-20,9503;-11,5842;280,3833;18,5300;24,9471;20,4736;-43,9254;-9,0459;164,6030;-40,5207;-32,7889;210,9814;-41,1715;-37,0660;233,4800;-41,3929;-37,3413;244,9299;15,5900;24,5904;20,2952;-50,8966;-29,3810;151,2041;-53,6539;-39,2403;183,7413;-58,4767;-44,5730;208,5943;-59,4256;-49,7677;220,4034;18,1400;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,49;159,51;158,97;169,08;111,65;117,42;134,30;109,48;101,54;;0.87;2023-08-21 13:31:30.031926000
1300;0,0000;0,0000;0,0000;-14,0774;18,2073;54,0902;-11,3593;2,2665;146,9191;7,8384;-4,3130;84,5412;57,6615;-4,6431;124,3085;84,0133;-3,6433;156,3298;97,1270;-5,3519;172,3082;17,3550;17,3550;-1,0566;19,8064;162,8994;9,2456;22,9850;221,8736;13,8896;24,9121;246,5371;15,7655;24,5743;258,9774;9,1600;24,1351;12,0675;-19,5120;1,7058;171,0100;-27,7599;0,2086;223,2822;-23,2195;-7,6025;261,2755;-20,1984;-10,8953;280,2837;18,5300;24,9471;20,4736;-43,5685;-8,4187;164,5811;-40,0719;-32,1381;210,9649;-40,6617;-36,3986;233,4683;-40,8479;-36,6657;244,9190;15,5900;24,5904;20,2952;-50,6248;-28,7526;151,2251;-53,2986;-38,5815;183,7785;-58,0531;-43,8853;208,6508;-58,9751;-49,0690;220,4669;18,1400;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,58;159,55;159,03;169,11;111,68;117,43;134,30;109,50;101,55;;1.3;2023-08-21 13:31:30.461926000
1730;0,0000;0,0000;0,0000;-14,3318;17,9054;54,1242;-11,6682;2,3208;147,0152;7,7995;-4,2099;84,7158;57,6849;-3,5748;124,4012;84,0697;-2,0031;156,3725;97,2326;-3,4265;172,3383;17,3550;17,3550;-1,6520;20,0541;162,9642;8,3684;23,5350;221,9699;12,8865;25,5929;246,6462;14,7164;25,3149;259,0948;9,1600;24,1351;12,0675;-19,8829;1,7316;171,0843;-28,2624;0,3010;223,3374;-23,7272;-7,3174;261,3705;-20,7170;-10,5037;280,3986;18,5300;24,9471;20,4736;-43,7804;-8,7417;164,6214;-40,1194;-32,2650;211,0922;-40,7256;-36,4613;233,6072;-40,9452;-36,6945;245,0581;15,5900;24,5904;20,2952;-50,5202;-29,2154;151,3155;-53,1639;-38,9277;183,9064;-57,9250;-44,1794;208,7885;-58,8142;-49,3200;220,6259;18,2100;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;123,13;160,12;159,65;169,67;111,95;117,42;134,30;109,51;101,53;;1.73;2023-08-21 13:31:30.901926000
2160;0,0000;0,0000;0,0000;-14,3028;18,1418;54,0531;-11,7772;3,1930;147,0523;7,7632;-3,7884;84,8247;57,4952;-2,9732;124,6988;83,7579;-1,2386;156,7620;96,8570;-2,5805;172,7872;17,3550;17,3550;-1,7609;21,0239;162,8921;8,2267;24,9223;221,8773;12,7276;27,1616;246,5409;14,5466;26,9773;258,9928;9,1600;24,1536;12,0768;-20,0235;2,7787;171,1143;-28,4721;1,7172;223,3650;-23,9948;-5,6449;261,4554;-21,0129;-8,7038;280,5089;18,5300;24,9471;20,4736;-43,9249;-7,7110;164,6924;-40,3968;-30,9435;211,3195;-41,0540;-34,9948;233,8597;-41,2962;-35,1544;245,3114;15,5900;24,5904;20,2952;-50,6715;-28,2678;151,5189;-53,3887;-37,7622;184,1679;-58,2026;-42,8434;209,0752;-59,1209;-47,9049;220,9445;18,2100;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,80;159,80;159,40;169,42;111,79;117,43;134,30;109,53;101,55;;2.16;2023-08-21 13:31:31.321926000
2590;0,0000;0,0000;0,0000;-14,3551;18,1219;54,0459;-11,4937;2,6880;146,9561;7,8761;-3,9001;84,6324;57,6526;-3,2511;124,4539;83,9489;-1,6789;156,4979;97,0695;-3,1020;172,4986;17,3550;17,3550;-1,4855;20,4667;162,8595;8,6460;24,0682;221,8390;13,2093;26,1773;246,5026;15,0649;25,9243;258,9479;9,1600;24,1351;12,0675;-19,6642;2,1195;171,0408;-27,9475;0,7535;223,3109;-23,3288;-6,7962;261,3477;-20,2781;-9,9466;280,3753;18,5300;24,9471;20,4736;-43,5517;-8,4127;164,6369;-39,7936;-31,8747;211,1310;-40,3638;-36,0450;233,6518;-40,5681;-36,2648;245,1032;15,5900;24,5904;20,2952;-50,2732;-28,9210;151,3751;-52,8589;-38,5972;183,9813;-57,5794;-43,8260;208,8760;-58,4448;-48,9533;220,7209;18,2100;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,64;159,55;159,11;169,15;111,68;117,42;134,30;109,52;101,55;;2.59;2023-08-21 13:31:31.751926000
3020;0,0000;0,0000;0,0000;-14,2764;17,9893;54,1110;-11,4152;2,0200;146,9307;7,8728;-4,3111;84,5549;57,6967;-4,1650;124,3223;84,0368;-2,9246;156,3448;97,1675;-4,5133;172,3215;17,3550;17,3550;-1,3087;19,6607;162,9254;8,9525;22,9214;221,9022;13,5728;24,8865;246,5672;15,4511;24,5628;259,0074;9,1600;24,1351;12,0675;-19,5691;1,3556;171,0185;-27,8171;-0,2642;223,2870;-23,2044;-8,0496;261,2769;-20,1537;-11,3215;280,2840;18,5300;24,9471;20,4736;-43,5122;-9,0253;164,5754;-39,8528;-32,7784;210,9293;-40,4336;-37,0776;233,4255;-40,6336;-37,3634;244,8756;15,5900;24,5904;20,2952;-50,3430;-29,4261;151,2042;-52,9694;-39,2821;183,7533;-57,7097;-44,6341;208,6179;-58,5982;-49,8271;220,4325;18,2100;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,63;159,58;159,16;169,21;111,70;117,44;134,30;109,54;101,57;;3.02;2023-08-21 13:31:32.191926000
3460;0,0000;0,0000;0,0000;-14,1307;17,3707;54,3508;-12,1074;1,2161;147,1605;7,5562;-5,2204;84,9130;57,0024;-5,7572;125,1456;83,0529;-4,9079;157,4169;96,0136;-6,6914;173,5115;17,3550;17,3550;-1,9243;18,7190;163,2577;7,9628;21,7770;222,3093;12,4332;23,6537;247,0088;14,2216;23,2904;259,4611;9,1600;24,1351;12,0675;-20,4401;0,6003;171,1884;-29,0789;-1,0169;223,3938;-24,8230;-8,9155;261,4020;-21,9442;-12,2522;280,4246;18,5300;24,9471;20,4736;-44,4480;-9,5085;164,5564;-41,3560;-33,3652;210,8985;-42,1358;-37,6904;233,3837;-42,4170;-37,9905;244,8317;15,5900;24,5904;20,2952;-51,4046;-29,8113;151,1012;-54,3707;-39,6926;183,6134;-59,3467;-45,0341;208,4343;-60,3761;-50,2368;220,2332;18,2100;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,38;159,30;158,84;168,93;111,57;117,44;134,30;109,52;101,57;;3.46;2023-08-21 13:31:32.621926000
3880;0,0000;0,0000;0,0000;-13,7290;17,5225;54,4050;-11,0206;-0,1712;146,9161;7,9258;-5,8775;84,3755;57,7685;-7,8300;124,0716;84,1587;-7,9119;156,0769;97,2554;-10,1588;172,0025;17,3550;17,3550;-0,4211;16,9166;163,1895;10,1103;18,8745;222,1764;14,8588;20,2860;246,8548;16,7684;19,6953;259,2805;9,1600;24,1351;12,0675;-19,1219;-1,0574;171,0145;-27,2638;-3,3997;223,2722;-22,7467;-11,9783;261,1025;-19,7282;-15,6664;280,0384;18,5300;24,9471;20,4736;-43,3409;-10,7059;164,4650;-40,1859;-35,3813;210,3720;-40,8231;-40,0707;232,7887;-41,0023;-40,5585;244,2322;15,5900;24,5904;20,2952;-50,7294;-30,6831;150,7549;-53,5273;-41,0533;183,1295;-58,3416;-46,7287;207,9081;-59,3341;-52,1092;219,6301;18,2100;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,42;159,33;158,92;168,96;111,59;117,44;134,30;109,55;101,58;;3.88;2023-08-21 13:31:33.051926000
4310;0,0000;0,0000;0,0000;-13,8499;17,5955;54,3508;-11,2892;-0,3787;146,8120;7,7179;-5,9414;84,2769;56,9275;-8,7905;124,7019;82,8225;-9,4728;157,1020;95,6535;-12,0179;173,1981;17,3550;17,3550;-0,6710;16,6372;163,1484;9,7292;18,3587;222,1659;14,4243;19,6705;246,8601;16,3037;19,0307;259,2879;9,1600;24,1351;12,0675;-19,4208;-1,3184;170,8982;-27,6291;-3,7977;223,1391;-23,1754;-12,4985;260,9490;-20,1873;-16,2494;279,8774;18,5300;24,9471;20,4736;-43,6534;-10,8937;164,2918;-40,6069;-35,7121;210,1290;-41,2807;-40,4665;232,5308;-41,4744;-40,9879;243,9727;15,5900;24,5904;20,2952;-51,0699;-30,8137;150,5139;-53,8982;-41,2607;182,8611;-58,7320;-46,9904;207,6234;-59,7382;-52,3987;219,3314;18,2100;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;121,13;157,54;157,01;167,05;110,76;117,43;134,30;109,55;101,55;;4.31;2023-08-21 13:31:33.481926000
