STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
430	0,0000	0,0000	0,0000	-21,2222	11,6356	-53,5982	-76,4515	3,9469	-129,6065	-60,0351	-3,9231	-66,5568	-121,0093	-9,1738	-84,5040	-157,3321	-12,5297	-104,2958	-175,7595	-15,8780	-113,2291	17,2650	17,2650	-89,9840	24,3244	-138,0558	-132,4409	28,9478	-180,1682	-151,1572	30,2336	-196,9665	-160,5072	29,1987	-205,3355	3,2100	20,3775	10,1888	-82,8041	3,8101	-154,2511	-104,8610	4,3247	-202,4007	-130,8803	-0,0768	-231,2124	-144,4178	-1,5694	-245,2171	17,6200	24,6400	20,3200	-61,6355	-11,0926	-161,5308	-94,2302	-30,1922	-197,6074	-107,4352	-33,6435	-216,0218	-114,1120	-33,7063	-225,3362	15,2400	21,4279	18,7139	-52,7317	-33,3946	-153,4339	-69,7765	-41,5188	-181,8591	-80,1656	-46,0618	-205,1271	-86,7000	-50,5963	-215,3364	17,4400	24,9324	12,4662	1,00	1,00	1,00	1,00	1,00	103,67	136,41	129,18	139,87	102,58	115,92	134,22	109,55	102,13	
860	0,0000	0,0000	0,0000	-21,2102	11,4708	-53,6384	-76,2823	3,7926	-129,7618	-60,0182	-4,0408	-66,6681	-120,9773	-9,2256	-84,6854	-157,2804	-12,5503	-104,5188	-175,7013	-15,8818	-113,4717	17,2650	17,2650	-89,7646	24,1827	-138,2610	-132,1605	28,8800	-180,4267	-150,8452	30,2139	-197,2563	-160,1820	29,2066	-205,6434	3,2100	20,4204	10,2102	-82,5803	3,6415	-154,4203	-104,4931	4,1942	-202,6352	-130,4355	-0,1595	-231,5236	-143,9342	-1,6271	-245,5682	17,6900	24,6400	20,3200	-61,4185	-11,3008	-161,6384	-93,9248	-30,4188	-197,7850	-107,0803	-33,8819	-216,2326	-113,7309	-33,9506	-225,5656	15,2400	21,4279	18,7139	-52,5671	-33,6086	-153,5000	-69,5612	-41,7344	-181,9551	-79,9040	-46,2828	-205,2426	-86,4218	-50,8162	-215,4631	17,4400	24,9375	12,4688	1,00	1,00	1,00	1,00	1,00	103,78	136,61	129,35	139,98	102,65	115,94	134,23	109,57	102,13	
1290	0,0000	0,0000	0,0000	-21,2745	11,7769	-53,5465	-76,6205	3,9205	-129,4528	-60,0222	-3,9848	-66,4551	-121,0358	-9,5811	-84,1622	-157,4185	-13,1221	-103,8114	-175,8612	-16,5668	-112,6760	17,2650	17,2650	-90,2920	24,2350	-137,8298	-132,9105	28,8503	-179,7796	-151,6807	30,1405	-196,5172	-161,0498	29,1114	-204,8656	3,2800	20,4204	10,2102	-83,0253	3,7981	-154,0840	-105,1526	4,3348	-202,2010	-131,1879	-0,1242	-230,9894	-144,7367	-1,6497	-244,9796	17,6900	24,6400	20,3200	-61,7841	-10,9631	-161,4406	-94,2856	-30,2293	-197,5127	-107,4806	-33,7307	-215,9247	-114,1619	-33,8166	-225,2359	15,2400	21,4656	18,7328	-52,7306	-33,2289	-153,4101	-69,7793	-41,4006	-181,8195	-80,1830	-45,9591	-205,0778	-86,7079	-50,5122	-215,2850	17,4400	24,9375	12,4688	1,00	1,00	1,00	1,00	1,00	103,95	136,73	129,51	140,10	102,71	115,97	134,23	109,58	102,14	
1720	0,0000	0,0000	0,0000	-21,2163	11,5068	-53,6283	-76,2539	3,9605	-129,7899	-60,0267	-3,9650	-66,6981	-121,0219	-9,0481	-84,6220	-157,3622	-12,2943	-104,4002	-175,8019	-15,5881	-113,3283	17,2650	17,2650	-89,7199	24,3696	-138,2693	-132,1110	29,2728	-180,4164	-150,7866	30,7074	-197,2480	-160,1213	29,7540	-205,6437	3,2800	20,4631	10,2316	-82,5394	3,8454	-154,4518	-104,4272	4,4740	-202,6771	-130,3573	0,1733	-231,5844	-143,8497	-1,2680	-245,6379	17,6900	24,6400	20,3200	-61,3826	-11,0999	-161,6786	-93,8420	-30,1245	-197,9165	-106,9541	-33,5213	-216,4073	-113,5765	-33,5520	-225,7607	15,3100	21,5031	18,7516	-52,5484	-33,4235	-153,5649	-69,4810	-41,4953	-182,0721	-79,7733	-45,9994	-205,3905	-86,2689	-50,5135	-215,6336	17,5100	24,9375	12,4688	1,00	1,00	1,00	1,00	1,00	104,04	136,86	129,75	140,36	102,78	115,99	134,23	109,59	102,16	
2160	0,0000	0,0000	0,0000	-21,1414	11,3394	-53,6934	-75,8208	3,9650	-130,1293	-59,9219	-4,0366	-66,9637	-120,8524	-8,9443	-85,1546	-157,1154	-12,0777	-105,0921	-175,5397	-15,2962	-114,0793	17,2650	17,2650	-89,1990	24,4096	-138,6619	-131,3632	29,4249	-181,0228	-149,9492	30,9079	-197,9489	-159,2429	29,9787	-206,3928	3,2800	20,4631	10,2316	-81,9852	3,8794	-154,8219	-103,6342	4,5875	-203,1539	-129,4315	0,3634	-232,1909	-142,8579	-1,0387	-246,3114	17,6900	24,6400	20,3200	-60,8269	-11,1091	-161,9542	-93,1317	-30,0543	-198,3713	-106,1535	-33,4171	-216,9320	-112,7270	-33,4306	-226,3198	15,3100	21,5031	18,7516	-52,0830	-33,4576	-153,8113	-68,8933	-41,4733	-182,4065	-79,0811	-45,9397	-205,7780	-85,5364	-50,4327	-216,0559	17,5100	24,9375	12,4688	1,00	1,00	1,00	1,00	1,00	104,10	136,96	129,89	140,48	102,82	115,98	134,23	109,60	102,16	
2590	0,0000	0,0000	0,0000	-21,0914	11,6522	-53,6473	-75,7480	5,1303	-130,1789	-59,9940	-3,3117	-67,0331	-120,7241	-5,7270	-86,3642	-156,7107	-7,2426	-106,9811	-175,0308	-9,7123	-116,4083	17,2650	17,2650	-88,9322	25,7349	-138,6298	-130,4901	31,1994	-181,5323	-148,8640	32,8313	-198,6757	-158,0681	31,9657	-207,2241	3,6300	20,3344	10,1672	-81,8848	5,2166	-154,8789	-103,3976	6,4491	-203,2621	-129,1617	2,6596	-232,3893	-142,5668	1,4760	-246,5506	17,8300	24,6279	20,3139	-60,8536	-9,9283	-162,0586	-93,3516	-28,3517	-198,5727	-106,4142	-31,4950	-217,1437	-112,9934	-31,3999	-226,5273	15,3100	21,4656	18,7328	-52,3203	-32,3931	-154,0115	-69,1349	-40,1488	-182,6766	-79,3094	-44,4312	-206,0888	-85,7792	-48,8274	-216,3996	17,5100	24,9375	12,4688	1,00	1,00	1,00	1,00	1,00	101,35	134,60	128,24	139,62	101,33	115,90	134,24	109,57	102,21	
3020	0,0000	0,0000	0,0000	-21,4291	11,6673	-53,4864	-78,0992	2,5039	-128,2194	-60,4192	-4,2338	-65,4043	-122,3475	-4,7510	-80,5476	-159,6949	-5,0379	-98,6092	-178,6723	-6,9085	-106,7727	17,3550	17,3550	-91,8659	22,6822	-136,7407	-134,1741	27,0284	-179,0023	-152,4700	28,8264	-196,1990	-161,5681	28,1996	-204,8740	4,4700	22,1776	11,0888	-84,9340	1,9263	-152,7190	-106,9603	2,9289	-200,8547	-132,9247	-0,9563	-229,7717	-146,4079	-2,1633	-243,8466	19,5100	24,8775	20,4387	-63,8658	-13,0223	-160,1599	-96,6477	-32,8584	-195,6382	-109,8392	-36,4481	-214,0258	-116,4664	-36,5335	-223,3706	15,6600	22,2111	19,1056	-54,7252	-35,1456	-151,8665	-72,2851	-44,3453	-179,6285	-83,1244	-49,7211	-202,5002	-89,8194	-54,6440	-212,4157	16,6000	24,9424	12,4712	1,00	1,00	1,00	1,00	1,00	105,59	140,90	135,43	146,06	103,26	116,20	134,38	109,77	102,43	
3450	0,0000	0,0000	0,0000	-22,0027	12,3141	-54,6770	-78,2577	5,7957	-132,8316	-61,6866	-3,3892	-68,3688	-125,0334	-4,0425	-84,1946	-163,2080	-4,0900	-102,8519	-182,5922	-5,9143	-111,3531	17,4000	17,4000	-92,0868	26,8042	-141,1662	-133,9278	31,7603	-185,8393	-151,7904	34,2348	-204,2655	-160,6081	34,0209	-213,6667	4,0500	23,4124	11,7062	-84,6684	6,0968	-158,0860	-108,1602	5,8967	-206,9587	-137,8019	-5,0572	-231,4840	-153,7963	-10,9831	-241,9287	15,5200	13,5079	14,7540	-62,9634	-9,0230	-165,7254	-96,2752	-29,8056	-202,0398	-114,2404	-44,6498	-204,7984	-123,2429	-51,6310	-201,9885	13,0700	28,1441	6,0721	-53,8714	-31,9963	-157,8036	-71,6858	-43,2017	-185,6923	-82,7443	-50,0416	-208,7835	-89,4781	-55,7388	-218,6713	11,6300	24,9216	12,4608	1,00	1,00	1,00	1,00	1,00	112,01	133,81	117,59	150,57	107,16	118,80	133,75	100,52	106,21	
3880	0,0000	0,0000	0,0000	-21,0876	12,2176	-53,6869	-76,1298	7,0459	-130,3405	-60,3932	-1,9771	-67,0973	-122,7174	0,6950	-81,1296	-160,4659	2,7087	-98,5119	-179,6917	1,9451	-106,4220	17,4000	17,4000	-88,9622	27,9873	-138,7058	-134,1047	24,1454	-178,2435	-148,6481	5,0734	-170,3613	-148,4628	-3,8464	-161,4311	6,8700	50,6900	25,3450	-82,3216	7,3513	-155,0915	-105,0313	7,7357	-203,0878	-132,0324	2,6925	-231,0130	-146,1805	0,7226	-244,4118	15,8000	23,0119	19,5060	-61,5453	-8,2051	-162,3883	-94,8905	-26,2707	-198,5052	-110,1650	-31,7235	-214,7847	-118,4367	-33,3368	-222,5945	14,5400	12,0400	14,0200	-53,4113	-30,9199	-154,4270	-70,1136	-40,1678	-182,8171	-80,2324	-45,5974	-206,0878	-86,6325	-50,5432	-216,2331	14,9900	24,9271	12,4635	1,00	1,00	1,00	1,00	1,00	63,52	142,01	135,99	153,21	106,41	79,48	134,01	109,23	103,94	
4310	0,0000	0,0000	0,0000	-21,3269	12,3749	-53,4291	-75,8579	7,5689	-130,2439	-60,2647	-2,2068	-67,2112	-121,1449	-3,0608	-86,3225	-157,2846	-3,3612	-106,7726	-175,6923	-5,2619	-116,1875	17,3400	17,3400	-88,9699	28,3920	-138,3083	-130,5602	33,3767	-181,2863	-148,8971	34,8644	-198,5036	-158,0524	33,9438	-207,1091	2,5100	20,5479	10,2739	-81,9412	8,1756	-154,9649	-102,6027	11,4787	-203,6546	-128,0246	8,8800	-233,2397	-141,2937	8,2392	-247,5785	19,2300	24,2431	20,1215	-60,9258	-6,8913	-162,4082	-92,6317	-26,1092	-199,2508	-106,7977	-31,3814	-216,4998	-114,4200	-32,7744	-224,9532	14,2600	14,7600	15,3800	-52,4718	-29,5533	-154,7959	-68,8788	-40,2455	-182,7673	-78,8590	-46,7081	-205,7758	-85,0793	-52,1826	-215,7272	12,3300	24,9324	12,4662	1,00	1,00	1,00	1,00	1,00	100,57	136,49	127,83	142,55	101,63	115,58	134,35	109,93	104,70	
4740	0,0000	0,0000	0,0000	-22,6847	14,3117	-58,1922	-81,8839	11,0354	-142,0636	-65,4375	-0,3663	-73,4184	-131,8566	-0,4079	-93,8444	-171,3437	-0,1976	-115,8755	-191,5196	-1,9322	-125,9295	17,3550	17,3550	-95,5231	34,1207	-150,7897	-141,9427	37,7890	-196,6417	-162,2455	38,8868	-215,0644	-172,3512	37,6727	-224,2623	0,6400	21,0796	10,5398	-88,3922	11,9932	-169,0019	-112,4406	14,0192	-221,4202	-146,3482	-4,0315	-239,7671	-164,2812	-14,6730	-244,0337	16,1500	2,9841	6,5079	-65,9234	-4,9788	-177,1036	-102,3828	-22,8804	-216,9737	-122,6477	-35,6521	-224,0381	-133,4580	-41,9017	-223,9819	14,7500	19,8900	1,9450	-57,4060	-29,9288	-168,8966	-75,6275	-39,3824	-199,8975	-86,6701	-44,8391	-225,2673	-93,6731	-50,0023	-236,3639	14,4300	24,8976	12,4488	1,00	1,00	1,00	1,00	1,00	107,73	121,87	120,76	155,18	111,57	125,10	133,60	110,33	112,95	
5170	0,0000	0,0000	0,0000	-21,5201	12,0780	-53,5406	-71,9410	12,8231	-133,4636	-59,9676	-0,9041	-70,2485	-119,3858	0,4290	-93,8131	-153,8773	1,7932	-117,0359	-170,0946	-0,7710	-129,8081	17,0400	17,0400	-84,2487	34,3819	-141,0007	-125,7397	38,5514	-184,3167	-141,1904	19,2390	-179,2598	-141,4787	9,5688	-171,1529	2,2500	53,6769	26,8384	-76,6612	14,9789	-158,4435	-95,3456	20,5417	-207,8292	-119,9961	18,8310	-238,2176	-133,0017	18,4874	-252,8545	17,9000	23,0679	19,5340	-55,4982	-0,0944	-165,6328	-85,9794	-14,6669	-205,6419	-98,9328	-17,2073	-224,4494	-105,7556	-17,0881	-233,6920	15,8000	16,9344	16,4672	-47,8570	-23,3696	-158,9050	-61,9986	-31,1969	-189,0549	-70,0868	-35,4009	-213,3485	-75,5329	-39,8461	-224,2525	14,7100	24,9159	12,4579	1,00	1,00	1,00	1,00	1,00	51,33	129,95	123,28	139,24	99,16	79,16	134,22	109,93	105,02	
5610	0,0000	0,0000	0,0000	-21,8343	12,9277	-53,2080	-72,8681	11,7842	-132,7261	-59,4133	-2,3796	-69,9127	-118,2007	-7,1707	-94,5690	-152,2135	-9,3814	-118,4176	-168,2842	-13,2887	-131,0308	17,0550	17,0550	-86,7251	32,5724	-139,7105	-128,2946	37,8204	-182,8259	-146,3496	39,7958	-200,3548	-155,2247	39,2452	-209,3112	0,4800	21,8671	10,9335	-77,9439	14,1225	-157,6174	-97,4684	19,2752	-206,7165	-122,2204	16,4193	-236,9312	-135,3013	15,4493	-251,4702	17,7600	23,1231	19,5616	-55,8382	0,7331	-165,2787	-84,5896	-17,2303	-205,1832	-100,7767	-28,6903	-216,7811	-110,0319	-34,5036	-220,3190	14,2600	10,6409	2,6795	-46,5220	-22,0788	-159,1066	-61,7875	-30,0162	-188,6703	-70,8848	-34,1503	-212,6140	-76,6589	-38,6465	-223,3252	13,7300	24,9271	12,4635	1,00	1,00	1,00	1,00	1,00	95,17	128,14	108,70	132,50	98,67	115,77	134,21	105,81	103,76	
6040	0,0000	0,0000	0,0000	-21,5169	12,0377	-53,4169	-73,8760	7,9345	-131,7454	-59,5341	-3,4286	-68,6955	-120,1012	-5,7885	-88,6153	-155,9014	-6,7069	-109,6196	-173,5934	-9,4887	-120,1161	17,1750	17,1750	-87,5233	28,5403	-139,4552	-131,6474	30,7423	-180,0566	-150,8290	31,2741	-196,3788	-160,2762	29,9478	-204,6038	2,3200	21,3136	10,6568	-79,3516	9,1694	-156,5795	-98,9911	13,2420	-205,6211	-123,5665	10,7186	-235,9093	-136,4348	10,0955	-250,6043	19,0200	24,3759	20,1880	-57,6281	-4,8796	-163,9607	-87,6418	-21,2894	-203,4673	-100,2326	-24,1327	-222,4192	-106,8222	-24,0691	-231,8011	17,2000	18,6999	17,3500	-48,5554	-27,4708	-156,8866	-64,0221	-33,7617	-186,6633	-73,1583	-36,7467	-210,7072	-79,0901	-40,6213	-221,5435	18,4900	24,9516	12,4758	1,00	1,00	1,00	1,00	1,00	94,18	137,08	130,94	142,08	101,89	115,14	134,33	110,09	102,22	
6470	0,0000	0,0000	0,0000	-21,4708	13,7391	-53,0160	-70,4279	17,3859	-133,5239	-59,0800	0,4916	-71,1147	-119,1963	1,0692	-92,4569	-154,5337	2,7119	-114,1792	-172,1365	1,3075	-125,0875	17,2500	17,2500	-83,3131	38,8725	-140,0380	-123,8799	48,8432	-183,1002	-141,4327	52,9779	-200,6869	-150,1235	53,5621	-209,7836	1,3900	22,3431	11,1715	-74,7887	20,8079	-158,3708	-91,6931	30,0821	-207,7160	-114,6570	31,2091	-239,3188	-126,7190	32,3923	-254,6466	19,9300	24,4524	20,2262	-53,0491	6,9179	-165,9905	-81,6030	-5,5311	-207,9423	-93,0731	-6,0993	-227,7861	-98,9716	-4,8077	-237,5307	17,1300	20,1600	18,0800	-44,7443	-16,3866	-160,4673	-58,7581	-20,2713	-191,3493	-66,7045	-21,3591	-215,9666	-72,1196	-24,3478	-227,3389	18,0700	24,9600	12,4800	1,00	1,00	1,00	1,00	1,00	101,92	140,76	134,29	145,32	103,32	116,08	134,40	110,11	102,69	
